Alicia Taylor, spouse, Amy Guerrero
James Davis, mother, Cynthia Miller
Kenneth Moore, spouse, Theresa Moran
Cory Bishop, spouse, Victoria Bass
Stacey Edwards, spouse, Mr. Justin Barrett
Jessica Walker, father, Scott Bailey
Diana Cobb, spouse, John Carter
Elizabeth Johnson, spouse, Nicole Madden
Shelby Rivas, mother, John Scott
Darrell Patton, spouse, Tammy Castro
Brian Ware, spouse, Jennifer Lane
Mason Harris, father, Benjamin Stein
Keith Sullivan, father, Rick Sims
Diane Singh, spouse, Kimberly Adams
Kathy Ortiz, father, Cassandra Jones
Erika Wilson, spouse, Annette Mccall
Zachary Stanley, father, Aaron Mack
Julie Sims, spouse, Steve Bruce
Zoe Jenkins, spouse, Chad Johnson
James Travis, mother, James Taylor
Michael Waters, father, Samantha Mullins
Danielle Mcdonald, mother, Justin Barnett
Tina Schwartz, spouse, Heather Torres
Paul Johnson, spouse, Isaiah Levine
Ryan Hull, spouse, Tiffany May
Jennifer Willis, spouse, Benjamin Stein
Joseph Parker, spouse, Elizabeth Green
Sharon Martin, spouse, Michael Parker
Sheri Gutierrez, spouse, Janet Knight
Holly Cunningham, spouse, Mary Fritz DVM
Julie Sims, spouse, Rachel Galvan
Heather Taylor, father, Jennifer Munoz
Jason Lester, father, Kylie Williams
Vincent Clark, father, Felicia Mcfarland
Katelyn Kaufman, spouse, Mark Frank
Lauren Harris, mother, Elizabeth West
Miranda Silva, mother, Sabrina Phillips
Evelyn Hunt, father, Jeremy Brown
Scott Meyers, spouse, Alejandra Randall
Cassidy Curtis, spouse, Denise Fernandez
Clinton Mendez, spouse, Lucas Castaneda
Matthew Harmon, spouse, Ryan Smith
Jared Martinez, father, David Estrada
Juan Miranda, spouse, James Travis
Jill Diaz, spouse, Cory Bishop
Vanessa Johnson, spouse, Stephanie Gibson
David Gonzalez, spouse, Matthew Burns
Jacqueline Bass, spouse, Hayden Taylor
Karen Hicks, spouse, Kara Ortiz
Jeffrey Lewis, spouse, Tiffany May
Daniel Dickson, spouse, Kathleen Johnson
Brian Reed, spouse, Jared Martinez
Jessica Turner, spouse, Michael Watkins
Brian Evans, spouse, Jonathan Moses
Kathleen Armstrong, mother, Mrs. Virginia Cline
Robert Hartman, spouse, Brent Dyer
Patricia Parsons, spouse, James Chung
Charles Ritter, spouse, Anthony Rodriguez
Jennifer Chase, spouse, Andrea Howell
Vincent Clark, father, Bobby Clark
Sabrina Young, spouse, Paul Henderson
Zachary Parker, father, Christopher Payne
Claudia King, father, Kathleen Castillo
Tiffany Harris, spouse, Melinda White
Jeffrey Quinn, mother, Brittany Brown
Taylor Dean, mother, James Jackson
Felicia Mcfarland, spouse, Jesus Riddle
Erik Williams, spouse, Olivia Stewart
Samantha Moore, mother, Perry Juarez
Tara Cruz, spouse, Crystal Gomez
Dr. Joseph Suarez, spouse, Ana Taylor
Wendy Thomas, father, Cindy Silva
Nathan Long, spouse, Louis Jones
Stacy Pace, spouse, Rebecca Brown
Maria Villegas, spouse, Jessica Porter
Christopher Villegas, mother, George Villanueva
Keith Kennedy, spouse, Kathleen White
Christopher Sanchez, mother, Hannah Woods
Ethan Schneider, spouse, Dean Mcfarland
James Chung, spouse, Matthew Elliott
Allison Morales, spouse, Jason Roberts
Margaret Reyes, spouse, Cynthia Miller
Melanie Warren, spouse, Kathleen Johnson
Donna Clark, spouse, Cindy Gutierrez
Megan Jones, spouse, Julia Choi
Jacqueline Jensen, father, Nicole Miller
Barbara Phillips, spouse, Rachel Hopkins MD
Jacob Smith, mother, Mary James
Elizabeth Johnson, spouse, Bobby Wright
Steven Hopkins, spouse, Brian Ware
Ruth Anderson, mother, Richard Lopez
Anthony Hebert, father, Taylor Gordon
Thomas Williams, spouse, Lauren Harris
Joel Smith, spouse, Michael Pollard
Tyler Willis, father, Michael Cunningham
Jill Joseph, spouse, Brandon Vasquez
Jessica Porter, spouse, Alyssa Snyder
Kenneth Durham, spouse, Nichole Harmon
Michelle Grimes, spouse, Joel Maddox
Kristin Hatfield, spouse, Scott Middleton
Deborah Goodman, spouse, Colleen Hunt
Ashley Rogers, spouse, Keith Collins
Kimberly White, spouse, Darin Mckee
Marie Price, father, Hannah Kelley
Tony James PhD, spouse, Cole Wade
Tracy Christensen, spouse, Frank Mccormick
Felicia Morrison, spouse, Jaclyn Sparks
Michael Brooks, spouse, Stephen Hernandez
Mariah Weber, mother, Margaret Reynolds
Keith Sullivan, father, George Buck
Charles Deleon, father, Heather Torres
Steven White, spouse, Jeffrey Green
Joseph Rowland, mother, Lauren Hodge
James Contreras, father, Margaret Gonzalez
Tina Kramer MD, spouse, Rickey Mcmahon DVM
Emily Ruiz, mother, Kristen Osborne
Glen Torres, spouse, Christopher Fernandez
Deborah Rose, spouse, Kelly Kim
John Taylor, spouse, Lauren Pacheco
Beth Campos, mother, Henry Roberts
David Smith, spouse, Colin Jones
Angela Cummings, mother, David Meadows
Erin Guzman, mother, Jose Williams
Tyler Hernandez, spouse, John Morris
Haley Stephens, spouse, Jose Wallace
Catherine Jones, spouse, Yolanda Silva
Jason Valdez, spouse, Shelby Mitchell
Jeremy Ferguson, spouse, Johnathan Rios
Debbie Smith, spouse, Reginald Floyd
Lindsey Richmond, mother, Ms. Cindy Clark
Jesse Crawford, spouse, Drew Simmons MD
Justin Henderson, spouse, Juan King
Kathleen White, spouse, Mr. Steven Porter MD
Cheryl Welch, spouse, Jonathan Johnston
Jacob Ortega, father, Annette Stevens
Kelly Brown, spouse, Tonya Hudson
Patricia Garza, spouse, Janice Velez
Bruce Harris, spouse, Brianna Mcfarland
Jillian Wise, spouse, Samantha Moore
Mary Graves, spouse, Gary Hays
Scott Kim, spouse, Sally Dalton
Nicole Grant, spouse, Ariel Morris
Jeffrey Quinn, mother, Kimberly Schultz
Clifford Sanchez, spouse, Michelle Lee
John Austin, spouse, Brandon Martin
Alexandra Roth, spouse, Carolyn Chavez
Dana Stewart, spouse, Sherry Nelson
Sarah Brown, spouse, Deborah Smith
Nicole Williams, spouse, Christopher Arellano
Jesse Crawford, spouse, Justin Stephens
Thomas Patel, father, Cassandra Moore
Audrey Clark, spouse, Joshua Lane
Alexander Gaines, spouse, Alyssa Jackson
Cynthia Johnson, spouse, Lauren Williams
Sheri Bautista, spouse, Heather Torres
Jennifer Nelson, father, Gabriel Clark
Taylor Hensley, spouse, Michelle Huff
Derek Nelson, mother, Joshua Peterson
Daniel Cox, spouse, Stacey Becker
Cory Gregory, father, Cynthia Cherry
Edward Martinez, spouse, Martin Tate
Kim Bentley, father, Jennifer Reynolds
Vanessa Watkins, spouse, Erika Herrera
Steven Price, spouse, Dana Stewart
Danielle Mcdonald, spouse, David Estrada
Jason Cunningham, spouse, Donald Nash
Beverly Phillips, mother, Kurt Miller
Frank Melton, spouse, Glen Torres
Richard Kim, spouse, Mr. Kevin Martinez Jr.
Lisa Brown, spouse, Anne Sutton
Steven Thomas, mother, Savannah Myers
Heather Taylor, spouse, Cynthia Miller
Sandra Acosta, spouse, Christopher Robinson
Erik Mcdonald, father, Amber Reese
Rebecca Edwards, father, James Singleton
Jerry Marshall, spouse, Kevin Flores
Stephanie Daniels, spouse, Phillip Russell
Luis Aguirre, father, Kimberly Smith
Charles Johnson, spouse, Justin Brewer
Charles Rodriguez, father, Savannah Hall MD
Shawn White, spouse, Charles Walker
Evan Mccarty, spouse, Philip Duran
Jon Hart, spouse, Kyle Chavez
Ms. Cindy Clark, spouse, Danielle Davis
Maria Miller, spouse, Alicia Steele
Maria Villegas, spouse, Ray Miller
Kristi Marquez, spouse, James Taylor
Brian Thompson, spouse, Betty Moore
Sharon Davis, spouse, John Mcdaniel
Jessica Turner, spouse, Andrew Smith
Stephanie Gibson, spouse, Heather Wells
Robert Jones, spouse, James Wolfe
Michael Melendez, spouse, Christopher Gonzalez
Jon Hart, spouse, Angelica Friedman
Shawn White, spouse, Nicholas Baker
Karen Spears, spouse, Tina Mendez
Melvin Miller, spouse, Jonathan Morrison
Zachary Parker, spouse, Matthew Harmon
Vincent Clark, spouse, Cindy Murray
Kirk Sloan, spouse, Jason Roberts
Mariah Kennedy, mother, Robert Bryant
Michael Schroeder, spouse, Shane Butler
Joshua Horne, spouse, Jared Martinez
Adam Rose, spouse, Margaret Reynolds
Troy Copeland, spouse, Robert Ramsey
Terry Galvan, father, Mr. James Friedman MD
James Sullivan, spouse, Melanie Porter
Theresa Moran, mother, Laura Montoya
Jennifer Rhodes, spouse, Victoria Rose
Michael Walls, father, Robert Bryant
Joshua Anderson, spouse, Kristen Osborne
Shane Butler, spouse, Dr. Jessica Anderson
David Baker, spouse, Kimberly Cole
Kenneth Marshall, father, Martin Sanchez
Andres Thompson, spouse, Derek Nelson
Tony Moore, father, Mason Robinson
Angie Tate DVM, spouse, Janet Bass
Tara Brooks, spouse, Martin Tate
Kathy Garrett, father, Robert Lopez
Allison Blackburn, spouse, Steve Bruce
Savannah Myers, spouse, Toni Howard
Jon Hart, spouse, Jeffrey Meyer
Amy Carpenter, spouse, Danielle Mathews
Matthew Sanders, spouse, April Wang
Tina Perez, spouse, James Jones
Richard Smith, mother, Kimberly White
Charles Alvarez, spouse, Danielle Davis
Michael Johnson, spouse, Tiffany Graves
Julia Norman, spouse, Brian Rogers
Mark Jacobs, spouse, Kirk Sloan
Julia Cherry, mother, Joseph Reid
Jacob Baker, spouse, Jamie Williams
Charles Wells, spouse, Spencer Robertson IV
Cory Mayer, mother, Michael Brown
Jasmine Anderson, father, Timothy Flores
Allison Smith, spouse, Mark Best
Samuel Anderson, spouse, Jason Pugh
Michael Harris, father, Deborah Goodman
Jessica Barton, spouse, Rachel Hopkins MD
Jessica Johnson, spouse, James Munoz
Amanda Howard, father, Matthew Savage
Kelly Frank, spouse, April Martin
Courtney Brown DDS, spouse, Cheryl Moore
Dakota Liu, mother, Jonathan Phillips
Ryan Smith, spouse, Brian Morris
Jane Diaz, mother, James Hardy
Lisa Davidson, spouse, Jennifer Walter
Christopher Sanchez, spouse, Christian Kim
David Williams, spouse, Jared Terry
Kevin Coleman, spouse, Roger Campbell
Jordan Stewart, mother, Joseph Barrera
Mrs. Beverly Lane, mother, Dennis Williamson
Christopher Bauer, mother, Adam West
Joy Campbell, spouse, Valerie Robinson
Aaron Mejia, spouse, Casey Sharp
Christopher Newman, mother, Roberto Rogers
Brandi Jones, spouse, Mary Roberts
Stephanie Johnson, spouse, Benjamin Wilcox
Mark Jacobs, spouse, Stanley Bennett
John Mcdaniel, mother, Travis Peterson
Michael Parker, spouse, Shane Lewis
Sharon Martin, spouse, Taylor Hill
Michael Thompson, spouse, Steven Delgado
Jonathan Ramsey, spouse, John Mcdaniel
Kimberly Chandler, spouse, Emily Franklin
Adam Cooper, spouse, Mr. Justin Barrett
Jacqueline Stevens, spouse, Deborah Smith
Tyler Montgomery, spouse, Stanley Bennett
Laura Erickson, spouse, Kimberly Schultz
Leslie Bennett, spouse, Patricia Watson
Sarah Gutierrez, spouse, Taylor Hill
Thomas Williams, spouse, Erik Williams
Katrina Gonzales, spouse, Evan Randall
Johnny Marshall, spouse, Mariah Weber
George Buck, mother, Bryan Murphy
Chelsea Holland, spouse, Ashley Cooper
Brandi King, father, Justin Deleon
Jose Williams, spouse, Mark Hale
Chelsea Holland, spouse, Debbie Stephenson MD
Kayla Castro, spouse, Paul Harrison
Spencer Robertson IV, father, Alyssa Bell
Ricky Mendoza, spouse, Karen Mercer
Joseph Nelson, father, Chelsea Holland
Dr. Rebecca Jimenez MD, spouse, Jack Wallace
Belinda Pollard, father, Shelby Mitchell
Robert Hartman, spouse, Cheryl Welch
Brian Hall, spouse, Travis Rose
Lauren Horton, spouse, Ana Erickson
Lucas Roberts, spouse, Jennifer Gamble
Benjamin Stein, spouse, Stephanie Johnson
Joseph Haynes, father, William Haynes
Kathy Ortiz, spouse, Dawn Williamson
Sean Nichols, spouse, Andrew Smith
Elizabeth Love, spouse, Jeremy Foster
Justin Deleon, father, Robert Jones
Kevin Vargas, spouse, Tracy Christensen
Virginia Hobbs, spouse, Kathleen Armstrong
Mark Martinez, spouse, Bruce Harris
William Mason, spouse, Carrie Stevenson
George Wood, spouse, Julia Choi
George Hodges, mother, John Jones
Shawn Robertson, spouse, Ashley Oneal
Anne Warner, mother, Alyssa Snyder
Ana Taylor, father, Jason Dixon
Albert Hernandez, father, Shane Lewis
Robert Vargas, spouse, Marcus Miranda
Ethan Beltran, spouse, Sarah Sanchez
Katelyn Richardson, spouse, Shawn Hall
Timothy Grant, mother, Gregory King
Rebecca Kent, spouse, Joseph Gonzalez
Christina Scott, spouse, Victor Ward
Amanda Cole, spouse, David Williams
John Baker, spouse, Danielle Davis
Annette Collins, spouse, Mr. Kevin James
Jesse Dickson DDS, spouse, Andres Thompson
Todd Sampson, spouse, Dawn Jackson
Maurice Baxter, spouse, Barbara Zuniga
Christopher Kirk, father, Phillip Benton
Natasha Hartman, spouse, Tammy Keller
Sara Roberts, spouse, Joseph Morales
Victoria Rose, mother, Martha Russell
Tracy Christensen, spouse, Steven Moore
Tony Moore, spouse, Mr. David Foster
Christopher Williams, spouse, Kirk Sloan
Mr. Edwin Frederick, spouse, Paige Perez
Robin Diaz, spouse, Brandi Jones
Megan Rodriguez, mother, Wendy Strickland
Elizabeth Wade, mother, Becky Sellers
Christopher Robinson, spouse, Jacob Turner
Anne Warner, spouse, Katie Gallagher
Terry Oconnell, spouse, Mary Graves
William Johnston, spouse, Gerald Gregory
Gregory Johnson, mother, Erika Herrera
Jay Hayes, spouse, Jody Patel
Cheryl Taylor, spouse, Kara Ortiz
Michael Lawrence, spouse, Tammy Lee
Martin Tate, spouse, Terri Cook
Becky Casey, spouse, Christopher Curtis
Elizabeth Wade, mother, Ashley Elliott
Gerald Jimenez, spouse, Curtis Taylor
Luis Vaughan, spouse, Cynthia Tyler
Joseph Gonzalez, spouse, Michael Huffman
Joseph Brown, spouse, Emily Burns
Matthew Williams, spouse, Samantha Smith
Michael Cunningham, spouse, James Jordan
Hannah Wise, mother, Michelle Harper
Anthony Hebert, spouse, Jerry Barron
William Arias, spouse, Jeffrey Wallace
Jack Wallace, spouse, Herbert Lee
Ryan Mason, spouse, Thomas Williams
Jennifer Banks, spouse, John Morris
Sarah Brown, spouse, Michael Pollard
Rodney Caldwell, father, Suzanne Savage
Jimmy Morris, spouse, Joshua Lane
Ana Erickson, spouse, Jason Roberts
Ian Meyer, father, Shawn Hall
Melissa Carey, father, John Scott
Jeremy Barnes, spouse, Tara Brown
Evan Randall, spouse, Jessica Russell
David Mcgrath, spouse, Anthony Rodriguez
Ariel Meyer, spouse, Rebecca Edwards
Jessica Griffin, father, Matthew Burns
Kevin Cole, spouse, Kathy Kim
Jacqueline Powers, spouse, Karen Weeks
Heather Wells, spouse, Michael Johnson
Maria Villegas, spouse, Megan Johnson
Charles Johnson, mother, Kathleen Malone
Jacqueline Clark, spouse, James Green
Nathan Mitchell, spouse, Jamie Chen
Mark Jacobs, father, Elizabeth West
Janice Velez, mother, Scott Kim
Joseph Rodriguez, spouse, Whitney Buck
Becky Casey, spouse, William Johnston
Shaun Willis, father, Dr. Marvin Evans
Mallory Young, spouse, Devon Morrison
Melissa Gordon, spouse, Joseph Morales
Kaitlin Cervantes, spouse, John Graves
Jessica Obrien, spouse, Cynthia Gibson
Deborah Phillips, mother, Robert Bryant
Bryce Bond, spouse, John Carter
Joanna Thomas, spouse, Jonathan Johnston
James Herrera, spouse, Julia Reed
Paul Armstrong, spouse, Alexis Brown
Mrs. Brandy Padilla, spouse, Teresa Waters
Jessica Johnson, spouse, Jamie Garcia
Susan Davis, mother, Kristy Norman
Nicole Thompson, spouse, Christina Moreno
Angie Tate DVM, father, Joseph Nelson
Matthew Rowe, father, Johnny Vazquez
Joanna Carter, spouse, James Middleton
Jason Patterson, spouse, Kimberly Smith
Mason Martinez, spouse, Johnathan Rios
Kristi Marquez, spouse, Jeremy Hale
Richard James Jr., spouse, Natalie Barnes
Christina Scott, spouse, Stephen Rodriguez
Christina Scott, spouse, Dana Adams
Kevin Mills, spouse, Benjamin Martin
Charles Alvarado, spouse, Donna Lara
Marcus Valdez, father, Tara Holloway
Cindy Gonzalez, spouse, Jermaine Garcia
Sandra Elliott, spouse, Chelsea Velazquez
Aaron Mack, father, Victoria Levy
Kevin Brown, spouse, David Houston
Ricky Mccoy, spouse, Claudia Lucas
Andrew Reyes, spouse, Jennifer Cain
Thomas Cole, spouse, Tony James PhD
Michael Parker, mother, George Torres
Lauren Howard, father, Joseph Daniels
Alicia Vance, spouse, Stephanie Gibson
Roger Smith, spouse, Jamie Torres
Eric Huff, spouse, Austin Hood
Jennifer Munoz, spouse, Jill Russo
Angela Cummings, spouse, Patrick Sanchez
Alison Harris, mother, Donald Jones
Chelsea Holland, spouse, David Martinez
Erik Mcdonald, spouse, Michael Avila
Stephanie Johnson, spouse, Robert Duran
Victor Johnson, father, Sandra Wang
Ronald Dixon, spouse, Danielle Mathews
Elizabeth West, spouse, Mark Hernandez
Tara Fisher, father, William Miller
Steven Silva, spouse, David Parker
Darrell Patton, spouse, Elizabeth Lindsey
Jodi Campbell, mother, Patricia Price
Jacob Roach, spouse, Willie Howard
Miss Shannon Carpenter, spouse, Karen Spears
Julie Fowler, spouse, Matthew Smith
Kristin Ross, spouse, Sharon Davis
Lisa Smith, spouse, Jeffrey Meyer
Mr. Justin Barrett, spouse, Thomas Fitzpatrick
Charles Walker, spouse, Alejandra Randall
Cynthia Bryan, spouse, Brandi Smith
Charles Ritter, father, Lauren Horton
Rachel Galvan, spouse, Jeremy Mitchell
Sarah Henderson, father, Kelly Brown
Lauren Zimmerman, spouse, Christopher Hanna
Tara Cruz, mother, Gary Graham
Jennifer Myers, spouse, Suzanne Savage
Susan Diaz, father, Michael Bradley
Felicia Mcfarland, spouse, Cindy Murray
Robin Erickson, spouse, Mark Solomon
Janet Bass, spouse, Mrs. Brandy Padilla
Christopher Porter, spouse, Jonathan Moses
Kelly Graham, spouse, Kimberly Jones
Cristina Robertson, spouse, Kelly Graham
Jeremy Foster, spouse, Jose Douglas
Timothy Grant, mother, John Carter
Justin Barnett, spouse, William Allen
Adam Fisher, spouse, Adam West
Sabrina Young, spouse, Mason Harris
Jennifer Romero, mother, Kimberly Adams
Jennifer Jimenez, spouse, Crystal Williams
Catherine Jones, spouse, Courtney White
Gabriel Schultz, spouse, Derek Miller
Jennifer Cain, spouse, Steven Moore
Jennifer Anderson, spouse, Kevin Prince
Timothy Jones, spouse, Albert Hernandez
Elizabeth Lindsey, spouse, William Chambers
Michael Johnson, spouse, Wendy Thomas
Dr. Teresa Howell MD, mother, David Baker
Linda Johnson, spouse, Kelly Barton
Victoria Rasmussen, father, Amber Mckinney
Christopher Myers, mother, Zachary Parker
Brian Thompson, spouse, Justin Wells
Cole Wade, mother, Daniel Martin
Erik Velasquez, mother, Hannah Woods
Edward Wilson, mother, Kim Holland
James Herrera, mother, Joshua Lane
Mrs. Allison Davis, mother, Brandi Jones
Robert Parsons, spouse, Barbara Zuniga
Christopher Newman, spouse, Logan Conner
John Wade, spouse, Charles Ritter
Jeremy Marshall, spouse, Savannah Jones
Jonathan Moses, spouse, Jeffrey Lewis
David Ibarra, father, Lisa Brown
Michelle Schneider, spouse, Benjamin Perez
Bethany Mitchell, spouse, Rebecca Mayer
Rebecca Le, spouse, Teresa Waters
Yolanda Silva, spouse, Daniel Williams
Sean Gray, father, James Villarreal
David Eaton, spouse, Matthew Walters
Daniel Burch, spouse, Robert Murray
Brian Brown, spouse, Clifford Sanchez
Eric Orr, spouse, Ashley Rogers
Danny Weaver, spouse, Thomas Garcia
Troy Sanchez, spouse, Thomas Suarez
Steven Moore, father, Cory Ryan
Dana Simpson, spouse, Eric Jones
Joseph Parker, spouse, Madeline Nelson
Hector Williams, spouse, Savannah Jones
Jesus Riddle, spouse, Mary Diaz
Christopher Gonzalez, mother, Christopher Rodriguez
Kurt Miller, spouse, Patricia Mccoy
Mark Frank, spouse, Stephen Chaney
Robert Hall, spouse, Kristi Sanders
Cynthia Johnson, father, Jeremy Jones
Jose Ramirez, spouse, Charles Salazar
Debra Murray, spouse, Melissa Mitchell
Scott Kelley, father, Rachael Knight
Clinton Mendez, father, James Contreras
Christian Christensen, spouse, Brittney Thomas
Zoe Mcfarland, spouse, Jared Terry
Richard Vasquez, spouse, Marc Clayton
Danielle Mathews, spouse, Brian Ware
Jeffrey Gonzalez, spouse, Crystal Greene
Melinda Salinas, spouse, Sheila Spence
Melissa Carey, father, Patrick Sanchez
James Wolfe, mother, Shannon Valdez
Charles Deleon, spouse, William Chambers
Susan Davis, mother, Michael Harvey
Melissa Mitchell, spouse, Chad Vazquez
Anthony Wade, mother, Seth Morris
Lisa Friedman, spouse, Andrew Smith
Nathan Nichols, mother, Samantha Rivas
Jennifer Cooper, spouse, Mariah Weber
Toni Howard, spouse, Christopher Moore
David Roberts, spouse, Ashley Cooper
Edward Leach, father, Shawn Robertson
Robert Solomon, spouse, Michael Avila
Debra Watson, father, Antonio Fuller
Melissa West, spouse, Gregory King
Alexandria Powell, spouse, Tony Dominguez
Kristy Pitts, spouse, Jon Fuller
Curtis Lang, spouse, Tina Perez
Samantha Harris, spouse, Jose Campbell
Hannah Woods, spouse, Courtney Rodriguez
Justin Brewer, spouse, Tara Alexander
Kenneth Moore, mother, Michael Avila
Travis Willis, spouse, Michael Vega
Kylie Kelly, spouse, Amber Reese
Kathryn Walker, spouse, Nicholas Fox
Karen Roberts, father, Norma Wood
Joseph Nunez, father, Jacqueline Jensen
Jennifer Cain, spouse, Justin Brewer
Justin Brewer, spouse, Shannon Dougherty
Nicole Grant, spouse, Joshua Horne
Kara Bates, spouse, Ms. Kristin Duffy
James Calderon, mother, Megan Walker
Philip Duran, spouse, Sarah Stephens
Courtney Fowler, spouse, William Porter
Derek Molina, father, Bradley Thompson
Jonathan Morrison, spouse, Michael Wright
Jacqueline Powers, spouse, Darin Mckee
Allison Blackburn, father, Nicole Bauer
Joshua Tucker, spouse, Bobby Wright
Sharon Baker, spouse, Christopher Newman
Stephanie Johnson, father, Kenneth Green
Robert Pham, spouse, Emily Rosario
Alexander Scott, mother, Laura Campbell
Joshua Horne, spouse, Cheryl Welch
Paul Armstrong, spouse, Robin Diaz
Michael Thompson, spouse, Sheena Alexander
Theresa Savage, spouse, Jacob Baker
Cynthia Johnson, spouse, Jessica Davies
Katherine Perez, spouse, Natalie Williams
Crystal Gomez, mother, Lauren Mills
Glen Torres, spouse, Nichole Harmon
Shirley Fletcher, father, Joshua Lane
John Stewart, spouse, Allison Morales
Natasha Pierce, spouse, Jeanne Jimenez
William Chambers, spouse, Diana Cobb
Ashley Rogers, spouse, Jill Joseph
Juan Flores, spouse, John Harper
William Allen, father, Timothy White
David Houston, father, Michael Kelley
David Rojas, spouse, Michael Rowe
Jonathan Mccall, spouse, Matthew Carpenter
Christopher Love, father, Ryan Mitchell
Daniel Wu, spouse, Caleb Doyle
William Allen, father, Allison Smith
Edward Allen, spouse, Scott Kim
Brandon Martin, spouse, John Gonzalez
Matthew Mills, spouse, Alicia Steele
Sarah White, spouse, Edward Meyers
Casey Sharp, spouse, Kathryn Smith
Drew Simmons MD, mother, Melissa Anderson
Natasha Hartman, spouse, Tina Schwartz
Cynthia Welch, spouse, Michael Thomas
Julia Norman, spouse, Curtis Alexander
John Mack, spouse, Jerry Marshall
Michael Fischer, spouse, Kim Carrillo
Erin Reyes, father, Gerald Jimenez
Anthony Rodriguez, spouse, Michael Harvey
Janet Weaver, spouse, Heather Wells
Cassidy Harrison, mother, Ronald Miller
Brian Evans, spouse, Daniel Hall
Victoria Rasmussen, spouse, Robert Parsons
Kristen Osborne, spouse, Russell Turner
Rachel Richardson, father, Shannon Dougherty
Madison Scott, spouse, Stephanie Baker
Lisa Thompson, spouse, Audrey Clark
Kristin Choi, spouse, Melissa Diaz
Tabitha Hensley, spouse, Jacob Olsen
Dawn Hampton, spouse, Rachel Fitzgerald
Joshua Tucker, mother, Patricia Ortiz
Louis Jones, spouse, Kevin Prince
Christopher Blevins, spouse, Stephen Rodriguez
Michael Parker, spouse, Jessica English
Lee Stafford, mother, Tyler Smith
Jeffery Estrada, spouse, Laura Erickson
Raymond Tucker, spouse, Kelly Graham
Jennifer Lane, spouse, Allison Morales
Diana Cobb, spouse, Amy Kennedy
Kaylee Hanson, spouse, Mr. Steven Porter MD
Anthony Brooks, spouse, Dr. Jessica Anderson
Christopher Sanchez, mother, Debbie Stephenson MD
Jeffrey Quinn, mother, William Collins
Charles Salazar, spouse, Emily Martin
Ethan Schneider, spouse, Jason Cunningham
Daniel Kelley, spouse, Jason Browning
Jeffrey Owen, spouse, Sara Jenkins
Michelle Harper, spouse, Robert Hartman
James Myers, spouse, Jeffery Carter
Eric Ruiz, spouse, Carlos Jones
William Johnston, father, Stephanie Cox
Troy Sanchez, father, Catherine Molina
Kimberly Graves, spouse, Nathan Long
Ryan Mitchell, spouse, Jacob Cortez
Sarah Sanchez, spouse, Stacy Pace
Teresa Waters, spouse, Annette Stevens
Catherine Sellers, father, Thomas Long
Audrey Boyd, spouse, Suzanne Savage
Amanda Smith, spouse, James Herrera
Jessica Russell, spouse, Emily Burns
Sheryl Morris, spouse, John Williams
Misty Young, spouse, Zachary Harris
Thomas Carr, father, Heather Fuentes
Edward Martinez, spouse, Jeremy White
Donna Hart, spouse, Nicholas Winters
Vicki Mcconnell, mother, Jason Howard
Nicole Bauer, spouse, Elizabeth Johnson
Rebecca Anderson, spouse, Deborah Goodman
Elizabeth Wade, spouse, Caleb Doyle
Joyce Lawrence, spouse, Taylor Jones
Cassandra Jones, spouse, April Harris
Madeline Nelson, mother, Michael Hernandez
Heather Gray, spouse, Tammy Castro
Jeremy Romero, spouse, Robert Vargas
Alyssa Cox, father, Regina Dunn
Debra Murray, father, Zachary Harris
Jonathan Wilson, spouse, Ashlee Simpson
Christian Kim, father, Michelle Huff
Kristin Hatfield, father, Craig Barnes
Margaret Mccormick, spouse, Jim Scott
Justin Henderson, father, Angela Morgan
Jon Rogers, spouse, Joseph Haynes
Amy Carpenter, spouse, Gregory King
Nicole Coleman, spouse, Jeffery Estrada
Jonathan Phillips, spouse, Sarah Owens
James Jackson, spouse, Elaine Harrison
Stephen Barry, spouse, Emily Burns
David Burton, spouse, Daniel Thomas
James Yang Jr., father, Joanna Thomas
Eric Orr, father, Lisa Thompson
Brooke Murray, spouse, Adriana Reilly
Deborah Baxter, father, Tracy Trevino
Chris Scott, father, Patricia Garza
Janice Smith, spouse, Roberto Rogers
Carmen Whitaker, father, Sheri Bautista
William Nguyen, spouse, Kayla Foster
Jeremy White, spouse, Sean Pearson
Steven Nelson, spouse, Jennifer Munoz
Tammy Castro, spouse, Haley Stephens
Charles Salazar, spouse, Jennifer Peters
Michele Hernandez, spouse, Emily Yang
Jacob Davis, spouse, Alexander Scott
Francis Perez, father, Jacqueline Bass
Maurice Baxter, spouse, Anthony Hebert
Rebecca Mayer, spouse, Chelsea Holland
Jessica Davies, spouse, Matthew Sanders
Reginald Floyd, mother, Stefanie Watson
Kathryn Smith, spouse, Joel Smith
Audrey Clark, father, Raymond Rivers
Jason White, spouse, Austin Davis
Alexander Scott, spouse, Natasha Hartman
Richard Garcia, father, Dennis Williamson
Andrew Smith, spouse, Susan Bowman
Sean Gray, father, Miss Shannon Carpenter
Daniel Burch, spouse, Robert Hall
John Gonzalez, father, Steven Hopkins
Jenny Brandt, father, Jill Davis
Brianna Mcfarland, spouse, Johnny Marshall
Stacey Edwards, spouse, Savannah Jones
Sean Nichols, father, Ryan Smith
Melissa Mitchell, father, Cindy Silva
Travis Mathews, spouse, Joyce Johnson
Roger Campbell, spouse, Sara Chambers
Michael Waters, spouse, Cassie Mendoza
