Jill Villegas, woman
Kenneth Parker, father, Edward Gilmore
Evelyn Mclaughlin, spouse, Timothy Williams
Denise Ward, father, Troy Foster
Maurice Mendoza, father, Robert Coleman
Jessica Bailey, spouse, Sharon Robertson
David Carter, spouse, Nicholas Williams
Cameron Martin, spouse, Mark Ortiz
Richard Mcgee, spouse, David Berger
Anthony Ortiz, spouse, Michael Terry
Terri Arnold, mother, William Friedman
Kathleen Douglas, father, Donna Cox
Carl Hill, mother, Crystal Larson
Arthur Turner, spouse, William Howard
Elizabeth Mason, father, Roberta Walker
Ashley Henry, spouse, Stephanie Davis
Sandra Patel, spouse, Debbie Clark
Blake Jackson, spouse, Ryan Martin
Maria Russell, spouse, Isaiah Fry
William Friedman, spouse, Joshua Carlson
Karen Oconnell, spouse, Angel Richard
Colleen Hill, spouse, Steven Webster
Stephanie Sandoval, mother, Christine Hodges
Kayla Ramos, spouse, Miranda Hall
Allison Goodwin, spouse, Roberta Walker
Maria Ross, spouse, Cody Richardson
Mark Cohen, father, Joshua Thompson
Jessica Vance, spouse, Alisha White
Jerry Reeves, spouse, Dale Smith
Brian Barker, spouse, Thomas Gutierrez
Christina Hopkins, spouse, Cameron Martin
Timothy Williams, mother, Jason Howard
Andre Holden, spouse, Richard Pearson
Joshua Richardson, spouse, Jay Romero
Debra Walls, spouse, Mr. Shane Mclean
Melissa Edwards, spouse, Katelyn Harris
Sara Gutierrez DDS, father, Sarah Waters
Ryan Cooper, father, Kimberly Berry
Jill Benson, father, Shirley Rodgers
Kristen Martin, spouse, Edward Scott DDS
Clarence Hernandez, mother, Andrew Williams
Jesus Williams, father, Kevin Hernandez
Mr. Joshua Sosa, spouse, Joshua Carlson
Richard Mcgee, spouse, Lauren Garcia
Larry Wright, mother, Caroline Oliver
Mr. Robert White, spouse, Jessica Macdonald
Daniel York, spouse, Andre Tyler
Douglas Becker, mother, Mark Ortiz
Dr. Mitchell Turner DDS, spouse, Tonya Rogers
Joanna Mitchell, spouse, Heather Adams
Tonya Doyle, spouse, Michael Torres
Anthony Ortiz, spouse, Brianna Moran
Stephen Stokes, spouse, Travis Hamilton
Tyler Bryan, spouse, Amy Wilson
David Thompson, mother, Joshua Thompson
Valerie Williams, spouse, Jenny Rojas
Joshua Carlson, father, Jay Frederick
Patrick Sheppard, mother, Stacey Phillips
Michelle Johnson, spouse, Christopher Thomas II
Jennifer Lopez, spouse, Virginia Johnson
Ann Anderson MD, mother, Eric Shelton
Cynthia Collins, spouse, Monica Franklin
Gregory Reed, spouse, Cassandra Hammond
Lance Rodriguez, spouse, Randall Morse
Patrick Schultz, father, Elizabeth Craig
Carrie Johnson, spouse, Douglas Becker
Jennifer Hancock, spouse, Steven Sanders
Veronica Blake, spouse, Ruben Allen
Michael Harris, father, Jimmy Miller
Debra Walls, father, Louis Hughes
Tonya Doyle, spouse, Tara Edwards
Ashley Williams, spouse, Daniel York
Bryce Foster, spouse, Abigail Hensley
Clarence Hernandez, spouse, Javier West
Joseph Booth, spouse, Vanessa Green
Tanya Mathis, spouse, Gregory Hines
Erin Blackwell, spouse, Daniel Anderson
Alex Campbell, spouse, Christy Stevens
Louis Frazier, spouse, Paula Ray
Alexander Smith, mother, Monique Sanchez
Jessica Munoz, mother, Jeremy Ross
Helen Rogers, father, Edward Johnson
Maria Smith, spouse, Susan Cook
Emily Martin, father, Steven Hardy
Jorge Richardson, spouse, Joshua Davidson
John Moore, spouse, Stephen Sanchez
Jeremy Campbell, father, Mikayla Brown
Tiffany Gray, spouse, Michael Green
Terri Arnold, mother, Sara Hogan
Gabrielle Bradford, spouse, Richard Price
Matthew Johnson, spouse, Jill Benson
Holly Guzman, father, Tiffany Gray
Angel Miller, father, John Martin
Louis Hughes, father, Sara Gutierrez DDS
Peter Baxter, spouse, Edward Johnson
Shannon Fletcher, spouse, Kylie White
Jesse Smith, spouse, Rachel Gray
Rachel Atkinson, spouse, David Jordan
Jason Ramos, spouse, Gregory Pearson
David Torres, spouse, Lori Williams
Justin Chung, father, Mikayla Brown
Cassandra Hammond, spouse, Courtney Wang
Randy Duarte, father, Nicole Rivera
Cheryl Simpson, father, Lisa Rollins
Jesse Smith, spouse, Brandon Franco
Anna Cardenas, mother, Peter Baxter
Christopher Murray, spouse, Nicole Scott
Jeremy Walker, spouse, Courtney Thompson
Sarah Waters, spouse, Jon Barker
Stacey Palmer, spouse, Rhonda Hobbs
Debra Garza, father, Louis Frazier
Christopher Williams, spouse, Chase Velazquez
Jon Barker, spouse, Steven Fuller
Larry Wright, spouse, Steven Olsen
Michael Lloyd, spouse, Michael Davis
Jeremy Walker, spouse, William Powers
Aaron Hansen, spouse, Yvonne Sosa
Mackenzie Rich, spouse, Maurice Mendoza
Roger Wyatt, father, Gregory Hines
Lisa Baldwin, spouse, Alyssa Morrow
Catherine Oneal, father, Christopher Wells
Sandra Gallagher, spouse, Mackenzie Rich
Paul Crawford, spouse, Jasmine Morrison
James Booker, mother, William Howard
Joshua Davidson, spouse, Brittany Barnes
Tricia Liu, spouse, Megan Lewis MD
Lisa Frazier, spouse, Stephanie Salinas
Marcus Freeman, father, Preston Zhang
Janice Orr, spouse, Natasha Martinez
Christina Zimmerman, spouse, Joshua Arellano
Caroline David, spouse, Justin Cowan
Emma Willis, spouse, Roberta Walker
Rachel Atkinson, spouse, Michele Williams
Julie Simon, spouse, Christopher Thomas II
Marcus Freeman, spouse, David Davis
Courtney Wang, spouse, Mackenzie Rich
Tara Nelson, spouse, Christopher Wilson
Kelly Meyer, father, Kevin Steele
Rita Day, spouse, Michael Macdonald
Emily Stone, spouse, Thomas Smith
Justin Smith, spouse, Christian Hess
Austin Stewart, spouse, Douglas Gillespie
Jake Garner, spouse, Kara Harrison
Katie Combs, spouse, Amber Dean
Amber Martin, spouse, Russell Leonard
Jacob Burton, spouse, Randy Duarte
Blake Jackson, spouse, Jaime Wolfe
William Sutton, father, Daniel Anderson
Julie Price, mother, Tanya Ochoa
Alisha White, spouse, Anthony Lee
Daniel Hunter, spouse, Amanda Ali
Gina Roberts, spouse, Sarah Powers
Lance Rodriguez, spouse, Jennifer Benton
David Tran, spouse, Daniel Hunter
Tina Rodriguez, father, Mallory Perez
Nancy Pena, spouse, Daniel Stewart
Megan Rogers, spouse, Nicole Ramos
Martin Green, mother, Natasha Martinez
Sheila Ryan, spouse, Dylan Weaver
William Howard, spouse, Jason Ramos
Brianna Moran, spouse, Kylie White
Thomas Smith, mother, Dylan Mcbride
Stephanie Sandoval, mother, Lisa Meyer
Steven Fuller, mother, Kiara Johnson
Steven Velez, spouse, Anna Cardenas
Steven Brooks, mother, Krista Morris
Sydney Clark, spouse, Tracy Gonzales
Abigail Hensley, spouse, Julie Munoz
Kelli Robertson, spouse, Katherine Jacobs
Steven Ford, spouse, Dr. Mitchell Turner DDS
Rita Rivas, father, David Rogers
Sharon Robertson, spouse, Cameron Anderson
Jesse Smith, spouse, Antonio Carney
Justin Sims, mother, Craig Smith
Elizabeth Thomas, spouse, Nicole Rivera
Aaron Berg, spouse, Crystal Boyd
Julie Munoz, spouse, Joshua Powell
Gary Jacobson, spouse, Jennifer Chang
Christopher Phillips, spouse, Janice Orr
Jason Stevenson, spouse, Thomas Clarke
Thomas Gutierrez, father, Erika Vaughn
Jeremy Walker, father, Russell Leonard
Jerry Reeves, mother, David Rogers
Christopher Hill, spouse, Tina Rodriguez
Matthew Summers, spouse, Brian Young
Stephanie Davis, spouse, Jason Stevenson
Sarah Waters, mother, Bryce Foster
Amanda Lambert, spouse, Robert Smith
James Bradshaw, spouse, John Burke
Jennifer Hancock, spouse, Jon Barker
Joshua Walker, father, Michelle Lang
Matthew Molina, spouse, David Griffin
Samantha Richmond, spouse, Michael Terry
Michael Davis, spouse, Dwayne Pollard
Christopher Williams, spouse, Frank Hernandez
Gregory Fleming, spouse, Michael Green
Caroline Swanson, father, Kathy Thompson
Steven Ford, spouse, Belinda Gregory
Alex Walters, spouse, Kyle Bell
Louis Ward, spouse, Edwin Wilson
Erika Vaughn, spouse, Crystal Hall
Grace Lamb, spouse, James Parsons
Gabrielle Bradford, father, Laura Kaufman
Christopher Lawson, spouse, Lauren Garcia
Kelsey Carrillo, spouse, Angel Miller
Susan Clayton, spouse, Jeffrey Gross
Michael Green, spouse, Jeremy Bailey
Miranda Hall, spouse, Alicia Cobb
Bobby Bean Jr., spouse, Aaron Barber
Joseph Cochran, spouse, Michael Scott
Denise Wilson, spouse, Carl Odonnell
Debra Walls, spouse, Kathleen Keller
Jordan Cross, spouse, Travis Hamilton
Matthew Molina, spouse, Christopher Wilson
Bridget Miller, spouse, Rebecca Martin
Patricia Oneal, mother, Veronica Blake
Mr. Robert White, spouse, Stephanie Smith
Adrian Johnson, spouse, Michael West
Daniel Stewart, spouse, Jacob Gibson
James Booker, spouse, Luis Herrera
Robert Reyes, spouse, William Friedman
Joseph Olson, spouse, Steven Vazquez
Steven Brooks, spouse, Sarah Waters
Tyler Johnston, father, Kenneth Wilson
David Johnson, father, Peter Baxter
Grant Bowen, father, Aaron Berg
Frank Hernandez, spouse, Anna Cardenas
Katie Combs, father, Charles Ellis
Jeffrey Sparks, father, Jordan Cross
Cynthia Dean, spouse, Joshua Walker
Joshua Richardson, spouse, Kelly Miller
Kimberly Bush PhD, spouse, Carlos Rodriguez
Tracy Smith, spouse, Elizabeth Larson
Edward Juarez, spouse, William Howard
Mr. Shane Mclean, spouse, Diane Brown
Eric Shelton, spouse, David Berger
Sarah Nicholson, spouse, Renee Mckay
Gary Burton, mother, Amy Jones
Daniel Little, spouse, Stacy Petersen
Elizabeth Mason, spouse, Tonya Doyle
Patricia Oneal, spouse, Angela Miller
Nancy Pena, mother, Anthony Moore
Michael Donaldson, spouse, Susan Cook
Michael White, spouse, Chad Cole
Rita Rivas, spouse, Michael Green
Joshua Griffin, spouse, Steven Webster
Thomas Gutierrez, spouse, Daniel Little
Edward Gilmore, spouse, Sheena Mann
Kenneth Wilson, spouse, Sandra Norman
John Hampton, spouse, Jennifer Chang
Daniel Torres, spouse, Katie Combs
Stephanie Short, spouse, Sara Gonzalez
Mrs. Tina Anderson, father, Kelly Miller
Belinda Gregory, spouse, Justin Smith
Geoffrey Morgan, father, Gabrielle Bradford
Debbie Wood, spouse, Jeremy Campbell
Lance Rodriguez, spouse, Douglas Gillespie
Danielle Clark, spouse, Michaela Blair
Denise Brooks, mother, Luis Herrera
Johnny Thornton, spouse, Amber Dean
Leslie Suarez, spouse, Cheryl Simpson
Kiara Johnson, spouse, Alicia Smith
Crystal Johnson, spouse, Amber White
Angel Miller, father, Shawn Houston
Christopher Murray, mother, Jessica Smith
Ann Anderson MD, spouse, Karen Martinez
William Beltran, spouse, Michael Lopez
Denise Young, mother, Wendy Marquez
Justin Cowan, spouse, Emily Stone
Nicole Crawford, spouse, Tonya Bradshaw
Sarah Waters, spouse, Patricia Oneal
Cody Dunn, spouse, Cody Richardson
Matthew Cross, spouse, Jenna Young
Geoffrey Morgan, spouse, Brian Barker
Gregory Brown, spouse, Rebecca Allen
Lee Carter, spouse, Emily Martin
Brian Barker, spouse, Amy Burton
Matthew Summers, spouse, Mr. Ian Miller
David Davis, spouse, Richard York
Krista Morris, spouse, Alisha White
Dr. Clifford Preston, spouse, Jason Stewart
Janice Johnson, father, Patrick Baker
Collin Booker, spouse, Leslie Suarez
Justin Chung, spouse, Tonya Rogers
Geoffrey Morgan, spouse, Kathryn Todd
Rachel Thompson, spouse, Miss Leslie Smith
Jesus Baker, spouse, Jenna Smith
Kelsey Green, spouse, Jaime Wolfe
Brian Barker, spouse, Bethany Allen
Caroline Swanson, father, Gregory Hines
Emily Stone, mother, Denise Clark
Colleen Rodriguez, mother, Jesus Baker
James Bradshaw, spouse, Tammy Tran
Stacey Phillips, spouse, Tricia Liu
Susan Graham, spouse, Cody Richardson
Peter Baxter, father, Tara Nelson
David Davis, spouse, Stacey Palmer
Jessica Smith, spouse, Michael Lopez
Tonya Rogers, spouse, Jacob Gibson
Tara Nelson, spouse, Steven Guerrero
Jesus Williams, spouse, David Carter
Amy Booth, spouse, Joseph Landry
Benjamin Martin, spouse, Matthew Irwin
Samuel Bell, father, Stephanie Salinas
Catherine Medina, spouse, Bruce Howard
Nathan Hartman, father, Cynthia Dean
David Maldonado, spouse, Paula Griffin
Michael Preston, mother, Jasmine Morrison
Amanda Allison, father, Cynthia Dean
Kristin Lee, spouse, Colleen Rodriguez
Jenna Smith, father, Joseph Olson
Kelli Robertson, spouse, Bruce Howard
Thomas Glover, father, Robert Hunt
Emily Weaver, spouse, Alexandra Harvey
Michael Mitchell, spouse, Joe Fisher
Jeffrey Gray, spouse, Shannon Kerr
Tracy Gonzales, spouse, Anthony Haynes
Christy Armstrong, spouse, Sarah Hayes
Rodney Richards, spouse, Paula Griffin
Michael Donaldson, father, Tracy Brown
Jessica Crawford, mother, Kristin Brown
Joseph Miller, spouse, Mark Flores
Allison Todd, mother, Miss Leslie Smith
Ashley Adams, father, Travis Hamilton
Brittany Barnes, father, Kenneth Lewis
Helen Rogers, spouse, Tiffany Mckenzie
Melissa Aguilar, spouse, Kelly Rogers
Anna Smith, father, Bradley Phillips
Janice Orr, spouse, Michael Terry
Allison Cruz, spouse, Jeremy Campbell
Christopher Hill, spouse, Anna Smith
Danielle Clark, spouse, Joshua Powell
Linda Velasquez, mother, Michael Mitchell
Jorge Richardson, spouse, Crystal Peters
Stephanie Blevins, spouse, Stephanie Henry
Eric Cox, spouse, William Myers
Travis Leonard, spouse, Stephen Price
Cody Barnes, father, Richard Mcgee
Barbara Huber, father, Sheri Brooks
Jennifer Chang, spouse, Thomas Clayton
Carla Maxwell, mother, Carmen Malone
Steven Webster, spouse, Gregory Hines
Aaron Hansen, spouse, Dawn Martinez
Sheila Boyd, father, Martin Green
Carmen Malone, spouse, Eric Gaines
Amanda Rose, mother, David Jordan
Kenneth Parker, father, Bryce Foster
Catherine Jarvis, spouse, Edward Johnson
Sara Romero, spouse, Gregory Torres
Rebekah Cannon, father, Anna Meyer
George Ross, spouse, Nicole Rivera
Debbie Clark, mother, Tracy Gonzales
Joseph Robinson, mother, Tracy Jones
Carla Maxwell, mother, Julie Simon
Christy Armstrong, spouse, Gary Young
Thomas Lynch, mother, Amanda Solis
Adam Rogers, spouse, Juan Mccall
Jessica Romero, mother, Bobby Bean Jr.
Robert Brown, spouse, Calvin Lynn
Nancy Pena, mother, John Barber DDS
Gary Burton, spouse, Allison Goodwin
Brian Morris, spouse, Amy Burton
Ryan Martin, mother, Mr. Joshua Sosa
Robert Reyes, spouse, Shawn Stewart
William Jacobson, father, Stephen Sanchez
Amber Phillips, spouse, Margaret Carter
Carl Hill, spouse, Mr. Robert White
Ashley Adams, spouse, Anthony Jones
Joshua Griffin, mother, William Wilcox
Ruth Phillips, spouse, Jessica Smith
Richard Mcgee, spouse, Brandon Wood
Paul Hendrix, mother, Laura Kaufman
Angelica Wilkerson, spouse, Stephanie Salinas
Amy Hamilton, spouse, Susan Dennis
Susan Rivera, spouse, Dale Smith
Ruben Williams, spouse, Dylan Weaver
Timothy Williams, mother, Laura Townsend
Rebekah Cannon, spouse, Marissa Parks
Bruce Howard, father, Brianna Moran
Kathleen Melendez, father, Michelle Morgan
Calvin Lynn, spouse, Sandra Gallagher
Cynthia Myers, father, Joseph Cochran
Joshua Thompson, spouse, Heather Adams
Madison Terry, spouse, Gabrielle Bradford
William Myers, mother, Donna King
Eric Gaines, mother, Joy Moreno
Robert Hunt, spouse, Thomas Glover
Summer Carr, spouse, Jesus Baker
Andre Holden, spouse, Alexis Hunt
Jennifer Lopez, spouse, John Anderson
Randy Duarte, father, Brittany Russell
Kenneth Lewis, spouse, Jennifer Franklin
Aaron Livingston, spouse, Steven Sanders
Antonio Carney, spouse, David Ashley
Mrs. Whitney George, spouse, Allison Todd
Darren Smith, spouse, Kathryn Dunlap
Jordan Cross, father, Brian Barker
Michael Preston, mother, Gregory White
Tanya Hooper, spouse, Nicole Valencia
Dr. Aaron Lin, spouse, Nicole Evans
Sarah Harrison, father, James Owen
Eddie Porter, spouse, Mr. Ian Miller
Summer Carr, spouse, Mrs. Linda Maynard
Michele Brown, spouse, Teresa Stein
Robert Smith, mother, Kathleen Juarez
Yvonne Barrett, father, Karen Baker
Craig Smith, spouse, Brian Morris
Tracy Gonzales, spouse, Austin Carter
Mercedes Woods, spouse, Tonya Doyle
Daniel Stewart, spouse, Lee Carter
Eric Vasquez, spouse, Sherri Lopez
Donald Ramirez, spouse, Megan Rogers
Michelle Johnson, spouse, Peter Austin
Crystal Johnson, spouse, Debra Walls
James Holt, father, Victor White
Cynthia Campbell DDS, spouse, Karen Oconnell
Julie Price, spouse, Stephanie Blevins
Danny Hall, spouse, Laura Gibbs
Maurice Mendoza, spouse, Gary Jacobson
Sarah Craig, spouse, Ralph Hunter
Crystal Boyd, spouse, Derrick Allen
Melissa Carter, spouse, Michelle Morgan
Jason Davis, spouse, William Beltran
Thomas Gutierrez, spouse, Crystal Hall
Debra Walker, mother, Tiffany Gray
Kenneth Hernandez, spouse, Allison Cruz
Jason Howard, father, Christian Hess
Sheila Ryan, mother, James Browning
Sarah Hayes, father, Holly Guzman
Thomas Reeves, spouse, Chase Velazquez
Tara Schroeder, father, Maria Ross
Thomas Reeves, spouse, Holly Jordan
Stephanie Sandoval, spouse, Shawn Stewart
Megan Johnson, spouse, Timothy Williams
Dennis Lawrence, spouse, Micheal Bryant
Sarah Donovan, spouse, Louis Hughes
Brittany Russell, spouse, Victoria Brown
Brian Wilson, spouse, Kimberly Holloway
Joanne Waters, father, Karen Martinez
Evelyn Mclaughlin, spouse, Amanda Rose
David Moore, spouse, Gregory Pearson
Sandra Norman, spouse, Jennifer Torres
Louis Ward, spouse, Amanda Solis
Jon Barker, spouse, Sharon Park
Brett Martinez, spouse, Samantha Jones
Donald Ramirez, spouse, Dylan Mcbride
Brian Rogers, spouse, Matthew Graham
Brittany Barnes, spouse, Mrs. Tina Anderson
Travis Singh, father, Matthew Molina
Laura Kaufman, spouse, Kathleen Keller
Ruth Phillips, mother, Elijah Brown
Alison Duncan, mother, Michael Green
Tiffany Becker, spouse, David Kim
Rhonda Thornton, spouse, Angel Miller
Stephanie Davis, father, Megan Vance
Gary Young, father, Brenda Wise
Rachel Lopez, spouse, Craig Smith
Margaret Taylor, mother, Katie Combs
Brandon Franco, father, Brooke Arnold
Stephanie Hoffman, spouse, Melissa Riley
Charles Ellis, spouse, Stephanie Short
Cory Hunt, spouse, Misty Phillips
Emily Wilson, spouse, Lisa Cortez
Kathleen Keller, mother, Allison Goodwin
Sarah Powers, spouse, Sharon Park
David Thompson, mother, Brenda Elliott
Michael Torres, spouse, Amy Chambers
Nancy Cooper, mother, Donna Cox
Debra Hale, spouse, Sandra Patel
Joshua Richards, spouse, Stephanie Blevins
David Rogers, spouse, Timothy Zamora
Carrie Johnson, mother, Anna Meyer
Rebecca Hayes, father, Robert Thomas
Peter Baxter, spouse, Grant Bowen
Lisa Rollins, spouse, Douglas Becker
James Flores, spouse, Ryan Martin
Travis Hamilton, spouse, Micheal Benjamin
Wendy Sanchez, spouse, Susan Davidson
Heather Adams, spouse, Laura Gibbs
Michael Scott, mother, Maria Ross
Gregory White, spouse, Carl Butler
Allison Todd, mother, Stephen Price
Thomas Payne, spouse, Jeffrey Thomas
Nicole Rivera, spouse, Kimberly Espinoza
Madison Terry, spouse, Nicole Jenkins
Jacob Gibson, spouse, Matthew Summers
Daniel Anderson, mother, Noah Ford
Stephen Zimmerman, mother, Ralph Hunter
Jennifer Meza, spouse, Paul Smith
Terri Arnold, spouse, Jason Howard
Pamela Smith, father, Craig Webb
Lee Carter, spouse, Susan Davidson
Stephanie Henry, spouse, Ann Anderson MD
Brittany Hardy, mother, Jeremy Ross
Isaac Howard, spouse, Nicole Rivera
Christopher Hill, mother, Sheri Brooks
Sarah Gay, spouse, George Ross
Jason Stevenson, spouse, Kim Wade
Kathleen Douglas, spouse, Sheri Brooks
Alexander Hernandez, father, Kimberly Melton
Phillip Carr, spouse, Sharon Park
Maria Russell, spouse, Jill Cunningham
Rachel Harrison, father, Lauren Garcia
Alison Castro, father, Melissa Simpson
Tonya Doyle, spouse, Chase Velazquez
Autumn Cole, spouse, Cassandra Peterson
Kathleen Douglas, father, Paula Smith
Stacey Phillips, spouse, Kathy Thompson
Isaac Howard, spouse, Terry Moore
Kimberly Holloway, father, Edward Juarez
Monique Sanchez, spouse, Yolanda Ruiz
Terry Cortez, father, Kevin Hernandez
Michael Harris, father, Thomas Reeves
Kim Wade, spouse, Robert Smith
Kathryn Todd, spouse, Joanna Mitchell
Curtis Huang, spouse, Thomas Payne
Christine Hodges, spouse, Tracy Burns
Sarah Gay, spouse, Elizabeth Rocha
Jeff Hernandez, spouse, Richard Kemp
Travis Leonard, spouse, Maria Ross
Colleen Rodriguez, spouse, Juan Mccall
Thomas Payne, spouse, Michael Lopez
Kevin Steele, spouse, Andrew Robinson
Carrie Martinez, spouse, Adriana Perry
Thomas Rocha, spouse, Michael White
Ashley Williams, spouse, Melissa Carter
Brian Barker, spouse, Roger Wyatt
Kevin Hernandez, father, Brenda Rogers
Amy Chambers, spouse, Denise Brooks
Susan Clayton, spouse, Crystal Johnson
Tracy Smith, spouse, Melissa Simpson
John Winters, spouse, Christopher Hill
Michael Lloyd, spouse, Bruce Howard
Jeffrey Gross, spouse, Micheal Bryant
Kevin Steele, spouse, Darren Smith
Robert Smith, spouse, Christina Roberts
Krista Morris, spouse, Samuel Welch
Megan Lewis MD, spouse, Andrew Robinson
Adrienne Robinson, spouse, David Maldonado
Robert Hunt, spouse, Kathleen Melendez
Joshua Carlson, spouse, Louis Ward
Melissa Brandt, father, Isaiah Fry
Daniel Hunter, spouse, Jennifer Meza
Kimberly Holloway, father, Tracy Castro
Crystal Boyd, spouse, Elizabeth Thomas
Mrs. Linda Maynard, spouse, Melissa Simpson
Thomas Glover, father, Michael Lloyd
Richard White, spouse, Ruben Allen
Gabrielle Bradford, spouse, Christy Armstrong
Julie Simon, spouse, Brittany Hardy
Jon Mayer, mother, Kenneth Wilson
Joseph Miller, spouse, Kyle Bell
Kenneth Parker, father, Mikayla Brown
Jeff Hernandez, spouse, Karen Long
Robert Thomas, spouse, Jason Lambert
Heather Rivera, father, Bethany Allen
Valerie Williams, spouse, Anthony Cruz
Amy Burton, spouse, Andrew Williams
Benjamin Martin, spouse, Peter Baxter
Andre Tyler, father, William Wilcox
Allison Goodwin, spouse, Erika Vaughn
Michael Bradford, spouse, Tony Gibbs
Katie Combs, father, Bryce Foster
Jessica Small, spouse, Cynthia Campbell DDS
Susan Cook, spouse, Brenda Rogers
Pamela Moore, spouse, Maria Smith
Sarah Craig, mother, Michele Brown
Maurice Mendoza, father, Heather Cook
Carl Hill, mother, Amy Burton
Kenneth Hernandez, spouse, Sean Yoder
Karen Brown, spouse, Steven Webster
Carl Butler, spouse, Darin Peters
Rebecca Martin, spouse, James Brown
David Kim, spouse, Lisa Carey
Alicia Cobb, spouse, Debbie Bishop
Eric Shelton, spouse, Susan Cook
Matthew Gonzalez, spouse, Jason Bass
David Kim, mother, Marissa Parks
Victoria Brown, father, Sarah White
Mark Branch, mother, William Thomas
Ricky Villanueva, spouse, Stephanie Short
Tracy Castro, spouse, Douglas Fernandez
Tanya Mathis, mother, Elijah Brown
Nicole Scott, spouse, Joshua Arellano
Michele Williams, spouse, Jason Stevenson
Sara Gonzalez, spouse, Diane Brown
Christopher Richardson, spouse, Alexander Smith
James Owen, mother, Mikayla Brown
Jennifer Hancock, spouse, Dwayne Pollard
John Burke, spouse, Gregory Pearson
Christina Dawson, spouse, Kimberly Hancock
Robert Gonzalez, father, Ashley Jones
Michelle Johnson, spouse, Danielle Clark
Richard Davis, mother, Mark Flores
Cody Dunn, father, Eric Bullock
Nicole Crawford, father, Paul Crawford
Travis Singh, spouse, Brandon Wood
Megan Daniel, spouse, Stephanie West
Jimmy Miller, spouse, Jennifer Meza
Dr. Mitchell Turner DDS, spouse, Laura Diaz
Lawrence Medina, mother, Gregg Williams
Crystal Peters, spouse, Jon Jensen
Gregory Fleming, father, Jay Frederick
Monica Franklin, spouse, Erica Roberts
Thomas Lynch, spouse, Donna Benjamin
Elizabeth Rocha, spouse, Stephanie Baker
Andrea Thomas, spouse, Susan Davidson
Roger Thompson, spouse, Michele Brown
Maria Smith, spouse, Andrea Thomas
Rita Day, spouse, Debbie Clark
Alexis Hunt, spouse, Thomas Rocha
Sherri Santos, father, Samuel Welch
Carrie Johnson, spouse, Shannon Kerr
Kathy Stewart, spouse, Caroline David
Timothy Gutierrez, spouse, Thomas Rose
William Sutton, spouse, Autumn Cole
Karen Meyers, spouse, Ashley Jones
Brittney Goodman, mother, Maria Russell
Michael White, spouse, Pamela Smith
Nicole Yu, spouse, Jonathan Duncan
Victoria Rodriguez, father, Stephanie West
Thomas Glover, father, Samantha Jones
Austin Lester, spouse, Kristin Brown
Christopher Thomas II, spouse, James Brown
Mrs. Tina Anderson, spouse, Caroline David
Jay Romero, spouse, Arthur Turner
Jill Benson, father, Joshua Arellano
Rachel Lee, spouse, Gregory Torres
Michael Morrison, spouse, Terri Arnold
Ruben Williams, spouse, James Garcia
Preston Zhang, spouse, Rachel Thompson
Sarah Cooper, father, Jimmy Miller
Elizabeth Thomas, father, Thomas Rose
James Brown, spouse, Steven Ford
Carl Hill, mother, Joy Moreno
Kayla Noble, spouse, Colin Byrd
Denise Pugh, spouse, Joanna Mitchell
Christopher Stewart, spouse, Caroline Oliver
Kathleen Melendez, father, William Sutton
Teresa Parker, mother, Rhonda Thornton
Rachel Thompson, spouse, Denise Brooks
Deborah Cole, spouse, Carlos Rodriguez
Stephanie Henry, spouse, Jennifer Weaver
Brittney Goodman, spouse, Todd Manning
Alex Walters, spouse, Alex Campbell
Michael Torres, mother, Dwayne Pollard
Frank Lopez, spouse, Kathleen Juarez
David Carter, spouse, Stephen Branch
Jerry Finley, spouse, Steven Guerrero
Edward Scott DDS, father, Mrs. Linda Maynard
Stephanie Smith, spouse, Jon Mayer
Brian Wilson, spouse, Joseph Cochran
Kayla Noble, spouse, Christian Hess
Brenda Wise, spouse, Kimberly Hanson
Kelly Lopez, mother, Allison Cruz
Carrie Martinez, mother, Stephanie Henry
Melissa Aguilar, spouse, Ashley Jones
Michael Terry, spouse, Regina Morris
Scott Moore, spouse, Cory Hunt
Donna Cox, spouse, Danielle Clark
Michael James, spouse, Amanda Rose
Mark Ortiz, spouse, Brooke Arnold
Katherine Jacobs, spouse, Brian Young
Jennifer Chang, spouse, Jesus Baker
James Flores, spouse, Steven Hardy
Randy Schultz, father, Luis Herrera
Jason Hudson, father, Deborah Cole
Debra Walls, spouse, Jennifer Hancock
Susan Cook, spouse, Blake Jackson
Brandon Mitchell, spouse, Cynthia Riley
Sarah Hayes, father, Alexis Hunt
Kathy Thompson, spouse, Jennifer Willis
Cameron Martin, spouse, Louis Frazier
John Moore, spouse, Gary Jacobson
Matthew Gonzalez, mother, Alex Mann
Michael White, spouse, Maureen Jenkins
Amy Jones, spouse, Brian Barker
Courtney Johnson, spouse, Michael Torres
Sandra Bradford, spouse, Mr. Robert White
Timothy Williams, mother, Sara Gonzalez
Evan Nelson, father, Jennifer Benton
Adrienne Robinson, spouse, David Carter
Richard Price, spouse, Jason Stewart
Brittany Ruiz, spouse, Ricky Villanueva
Tiffany Gray, spouse, Christopher Stewart
Kimberly Hanson, mother, Ruben Williams
Shannon Fletcher, spouse, Patrick Sheppard
Edward Scott DDS, father, James Green
Dawn Martinez, spouse, Ashley Jones
Brittany Hardy, mother, Brian Rogers
Steven Vazquez, spouse, Christine Hodges
Jill Villegas, spouse, Lauren Holt
Raymond Hale, spouse, Sarah Jones
Jason Stevenson, father, Frank Lopez
